epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,469.79,0.97836,1.49548,1.25736,0.96632,0.93621,0.98767,0.68322,1.15669,0.86614,1.24371,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,487.082,0.902,1.47079,1.20411,0.96047,0.9563,0.99287,0.70073,1.0842,0.85659,1.21595,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,504.782,0.9516,1.45905,1.25128,0.96195,0.97266,0.99336,0.68154,1.11799,0.878,1.23797,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,523.756,0.90939,1.41712,1.23207,0.93479,0.97673,0.99122,0.69906,1.06423,0.84809,1.19043,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
34,541.77,0.91091,1.42588,1.2457,0.94767,0.95324,0.98978,0.70842,1.03197,0.81431,1.1679,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,559.143,0.91512,1.48679,1.26195,0.97299,0.95844,0.99018,0.69051,1.1115,0.82836,1.22086,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,578.972,0.8721,1.36331,1.19983,0.9678,0.96333,0.99191,0.6903,1.12642,0.805,1.22917,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,597.795,0.90122,1.34546,1.19301,0.96881,0.96057,0.98793,0.72882,0.9967,0.78494,1.15566,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,616.498,0.93021,1.39902,1.24501,0.9691,0.98448,0.99059,0.75497,0.90882,0.75465,1.10935,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,636.102,0.89741,1.3304,1.19955,0.98318,0.98607,0.99117,0.73777,0.97544,0.73869,1.14244,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,655.75,0.86415,1.35234,1.18827,0.95049,0.98988,0.99206,0.76585,0.89435,0.72647,1.10463,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,675.168,0.92,1.35527,1.25626,0.96234,0.97949,0.99363,0.76496,0.89905,0.71395,1.11251,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
42,694.567,0.85026,1.29743,1.1642,0.9623,0.98271,0.99432,0.74949,0.95657,0.71405,1.14199,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,713.982,0.88509,1.36674,1.20085,0.97044,0.97516,0.99435,0.7261,1.01886,0.71714,1.17729,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
44,733.164,0.88197,1.33795,1.21182,0.98247,0.9769,0.99473,0.72775,1.0172,0.71159,1.17622,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,753.342,0.88981,1.33791,1.22544,0.98058,0.9928,0.99472,0.73915,0.97757,0.6972,1.15086,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,772.213,0.87959,1.32951,1.19204,0.99426,0.98188,0.99458,0.74941,0.95135,0.67816,1.13117,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,790.991,0.88808,1.32515,1.19927,0.9799,0.98916,0.9945,0.75671,0.9173,0.66519,1.10839,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,810.543,0.86045,1.26424,1.21584,0.98125,0.98627,0.99457,0.78329,0.79829,0.64793,1.056,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,828.168,0.8693,1.30987,1.18907,0.97965,0.99268,0.99452,0.77964,0.8253,0.64348,1.07411,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,845.715,0.85602,1.27564,1.16475,0.97099,0.9893,0.99347,0.76958,0.82336,0.66457,1.0725,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,864.264,0.8386,1.27409,1.1426,0.98707,0.98282,0.99452,0.78151,0.80397,0.6488,1.05505,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
52,882.271,0.83455,1.217,1.16039,0.97562,0.9836,0.99443,0.79949,0.75835,0.63148,1.02995,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
53,899.076,0.86625,1.27176,1.18813,0.97116,0.97861,0.99464,0.7856,0.79971,0.65524,1.05058,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
54,916.472,0.84412,1.2114,1.16343,0.97619,0.97401,0.99431,0.78927,0.79165,0.64899,1.05608,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
55,934.88,0.82255,1.19193,1.13716,0.97985,0.98591,0.99464,0.78702,0.81026,0.63493,1.0705,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
56,951.874,0.83605,1.24154,1.15384,0.98979,0.99146,0.99494,0.80032,0.75912,0.61171,1.04883,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
57,970.231,0.85144,1.28492,1.19053,0.98908,0.99692,0.995,0.80383,0.73801,0.60392,1.03604,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
58,988.022,0.84956,1.25962,1.19744,0.99008,0.99448,0.995,0.81701,0.7034,0.59551,1.01489,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051
59,1004.75,0.84948,1.25104,1.16369,0.98832,0.99623,0.995,0.79999,0.74389,0.60606,1.02923,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
60,1022.85,0.87451,1.26758,1.17665,0.98574,0.99912,0.995,0.79168,0.77673,0.60109,1.0394,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053
61,1039.51,0.78635,1.13853,1.13085,0.98702,0.99452,0.99047,0.76813,0.84271,0.60718,1.06844,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
62,1057.63,0.82242,1.20592,1.16148,0.98934,0.99291,0.99036,0.77716,0.81865,0.60497,1.05482,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055
63,1074.36,0.7881,1.15235,1.13435,0.9881,0.99416,0.995,0.79361,0.76733,0.59675,1.03638,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
64,1091.29,0.80378,1.18535,1.1544,0.98315,0.99864,0.99485,0.80588,0.73608,0.59236,1.02075,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057
65,1109.6,0.80832,1.15424,1.13391,0.99068,0.99803,0.995,0.79591,0.75994,0.5935,1.02936,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058
66,1127.75,0.87916,1.20923,1.19055,0.99102,0.99906,0.995,0.80839,0.73095,0.5798,1.01237,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
67,1145.38,0.78711,1.21045,1.137,0.99149,0.99913,0.995,0.82147,0.69511,0.57,0.99634,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059
